Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Solyc05g053850.3,708.8291918869992,-5.778737404716102,0.42073027371679333,-13.735016864048987,6.264148368570784e-43,1.411688476341112e-38
Solyc05g005000.4,506.1064585454381,-3.431252658610452,0.2757272868419434,-12.444371022942562,1.5006181911175257e-35,1.690896577751228e-31
Solyc03g019790.3,551.0821116589063,-2.990409380809722,0.2570646573714869,-11.632907500342409,2.803818625840341e-31,2.106228551731264e-27
Solyc05g051580.3,438.1606330922515,-5.932045904195797,0.5151434990719284,-11.515327117362142,1.1043964884695418e-30,6.222169816037399e-27
Solyc08g062960.4,612.6084240978732,5.135163407450222,0.45283851702777966,11.339943963148354,8.319771797668148e-30,3.7498875446449873e-26
Solyc06g050130.3,347.35962590751024,3.0476284278555483,0.28269764658475666,10.780522811822655,4.2546067329712654e-27,1.1985227166780055e-23
Solyc03g025710.3,1395.5163152604837,-3.6577451967762014,0.3406962292941407,-10.736089461143642,6.890141374119637e-27,1.5527622600716013e-23
Solyc01g005590.2,529.5276679789214,-4.516822032352935,0.4205681404843574,-10.739810265111924,6.618025433671498e-27,1.5527622600716013e-23
Solyc06g075090.4,271.9302585351889,-4.1572278829613385,0.3917765982935985,-10.611220529935533,2.6427404268341173e-26,5.41425438719397e-23
Solyc07g043130.3,5390.513687755068,-3.3428169368330454,0.3157648980835349,-10.586410830087614,3.4455058236653056e-26,6.470659936843444e-23
Solyc09g055940.3,626.5019219771491,3.186617518661359,0.3012441518763931,10.578188817318173,3.7615916950742515e-26,6.520863880014871e-23
Solyc05g052240.3,1627.6752477797618,-4.259149031498573,0.41773155456497957,-10.195899699111784,2.068205912760616e-24,3.3292206035695174e-21
Solyc09g007920.4,8210.085401948216,-2.1746422775220546,0.21547981341156497,-10.092092818776036,5.987905414349302e-24,8.996229094518391e-21
Solyc03g121600.4,885.703172921216,-5.911055613506566,0.5872832446637632,-10.065084722263475,7.881944059812913e-24,1.1101718208246488e-20
Solyc12g089220.3,729.042581112819,2.830352122877558,0.28826353192337834,9.818627087487007,9.36096927599704e-23,1.1719933533548294e-19
Solyc03g116460.4,437.6759421502551,3.55220940678019,0.3644411310317756,9.747004671847735,1.8999135034703832e-22,2.2534974060109767e-19
Solyc01g079140.2,68.1964395303967,-3.206596544422937,0.3303946779897237,-9.70535168403249,2.8608798443519094e-22,3.2236394086157316e-19
Solyc02g089620.3,1858.0000282738577,-3.2681459661189862,0.34320328238789305,-9.522478757721446,1.6909663591859519e-21,1.8146484700292673e-18
Solyc02g077140.3,480.3815379688587,-2.021789796672055,0.21265447857814743,-9.507393449647367,1.954995946155827e-21,2.0026267564803503e-18
Solyc03g117960.4,286.70744096310096,2.213850153938585,0.23346173424646063,9.482710993663185,2.4776093668709984e-21,2.4276262909480355e-18
