Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Solyc03g117960.4,286.70744096310096,5.597394638208435,0.229151991803684,24.426558958316882,8.932618598014412e-132,2.052983732381652e-127
Solyc08g062437.1,2092.943728843455,10.80543212299613,0.49607293064478786,21.781942644907872,3.4416558699096705e-105,3.954978842906698e-101
Solyc07g006630.4,2025.1788468940456,-4.085824380907606,0.21786239483213862,-18.754151601315606,1.790520496692667e-78,1.3717177525162522e-74
Solyc11g020330.1,791.3904494820619,9.452570832692578,0.5092671008987111,18.56112601032246,6.630035561548856e-77,3.809452682776934e-73
Solyc03g082420.3,4165.523295661948,9.521737631678809,0.5147378258572066,18.498227939285414,2.1337499602820722e-76,9.807995067432574e-73
Solyc06g076570.4,3180.1485369859024,5.682943829519419,0.32328574835199353,17.578701995028343,3.586940939190701e-69,1.373977726756998e-65
Solyc06g076560.2,2846.4603529795013,8.006730420045661,0.46664502701758653,17.158075103078104,5.469662298635805e-66,1.7958464087078102e-62
Solyc01g102960.3,1865.8235278215027,10.213417884415152,0.6201903538996835,16.468198546130864,6.209203182563997e-61,1.7838264593108543e-57
Solyc09g009420.1,1565.7031099399435,-4.497356086778396,0.287289387841332,-15.654445576883806,3.0980127932437936e-55,7.911292003013567e-52
Solyc03g113930.3,921.7546580350561,10.752620458125332,0.7127165957202614,15.086810834338555,1.9777319423119262e-51,4.5454213230155006e-48
Solyc02g066930.3,380.39965174147,3.1317556798284114,0.210864137680391,14.852007146778302,6.751650164104379e-50,1.4106652338328269e-46
Solyc05g007020.4,1746.6274175845542,-2.1518274829377573,0.1525803236899825,-14.102915965166702,3.643958992766861e-45,6.481464953332665e-42
Solyc11g007540.2,772.156997129228,-2.3652288125848604,0.1677171340360038,-14.102487656849165,3.666146473189951e-45,6.481464953332665e-42
Solyc08g062340.3,1371.325066910531,5.773964948065072,0.43318329950168766,13.329149472537726,1.5667364537539892e-40,2.572021708330567e-37
Solyc09g008970.1,201.08113439130514,5.987379250347436,0.45050181406121664,13.29046646088275,2.629339446686276e-40,4.028673900212712e-37
Solyc03g112200.1,1082.1535737665918,-2.6434566144380027,0.2127457537066147,-12.425425976226252,1.9021052989917816e-35,2.428671449262673e-32
Solyc02g079930.3,205.56939737714157,6.686846115300243,0.5486826867691781,12.187091513083026,3.6418856643126198e-34,4.4053399064682595e-31
Solyc11g051160.2,2283.6340693363513,-2.481814452344788,0.20387049741494162,-12.173485049646501,4.303095931465481e-34,4.944902689643558e-31
Solyc09g015000.4,1813.5557513869915,6.823727129890145,0.5626700786629039,12.127403586317667,7.560882077331001e-34,8.274845370633256e-31
Solyc09g007270.3,1568.7455380484876,7.517829941549548,0.6232386301117382,12.06252240847411,1.6660100677873647e-33,1.7404504267253184e-30
Solyc02g077670.3,524.3233895829734,2.0031038706716493,0.1672625101407117,11.975808978273214,4.7577397120082774e-33,4.754223121786358e-30
Solyc04g014480.3,1097.1050881929748,6.722192917991742,0.5629925802601562,11.940109254877656,7.31270765059762e-33,7.002831663903546e-30
Solyc09g075950.1,182.20492844805466,4.52389965384212,0.38345059592411646,11.797868361475656,4.0032401299384705e-32,3.680258716255035e-29
Solyc03g115230.3,3304.92890497875,4.014391757735278,0.34675637631514916,11.576980358356272,5.391177610625489e-31,4.765593654807908e-28
Solyc03g117630.1,712.0918238782375,4.338548635218343,0.37530306300672983,11.560120507571092,6.561664167605849e-31,5.585434354225378e-28
Solyc05g007420.2,172.27280212069726,-4.7278234652045175,0.41046318141097693,-11.518264437147597,1.06739294047904e-30,8.761389982510634e-28
Solyc08g077560.4,688.2757753367016,3.007103784895955,0.2613407080663072,11.50644997920873,1.2241451210753577e-30,9.701561144025844e-28
Solyc08g078510.3,6267.093800381712,2.480067247815487,0.21615843384158895,11.473377206429042,1.7951389348231946e-30,1.3752559379680495e-27
Solyc06g075090.4,271.9302585351889,-4.757249002502762,0.41556425850087064,-11.447685659166945,2.415074276154876e-30,1.7905049060925006e-27
Solyc09g011480.3,329.0556021977917,-2.57365061934528,0.22510646430253212,-11.433037373313363,2.8592898078516084e-30,2.0535955516829223e-27
Solyc11g071830.2,715.3318986940184,3.8920577170340507,0.34099886478496044,11.413696991303613,3.572171263969735e-30,2.4878549139338313e-27
Solyc08g067260.4,1195.4216612794341,-3.0396617177886895,0.26770151957659993,-11.354667401949218,7.030693512305866e-30,4.7525420292154626e-27
Solyc07g065900.3,3792.8030469071823,-4.582391931314255,0.40477520607190987,-11.320831569165271,1.0348557905087222e-29,6.795454466646275e-27
Solyc11g008630.3,1600.066814934984,-2.154910314498822,0.1915229231981134,-11.251448539503334,2.2781948135411416e-29,1.4544375388782236e-26
Solyc08g008280.3,2163.9790136079773,3.8097586281250124,0.3452674468084019,11.034224811350805,2.612949810774768e-28,1.6230655540820675e-25
Solyc01g098990.4,1601.4405814240079,-2.1701602009764565,0.19800264631235387,-10.960258569236379,5.932961176708714e-28,3.5883485980077986e-25
Solyc09g092690.3,467.7335096961784,7.804008465214572,0.7148260833010962,10.91735269252535,9.523113764625858e-28,5.612044196215284e-25
Solyc09g014350.3,858.5483173621978,-3.737461385720382,0.3450348234225456,-10.832128040430614,2.4245415557089286e-27,1.3930809643714577e-24
Solyc09g064380.3,298.7661435533347,2.5645758612558356,0.24188853069098976,10.60230451576084,2.9072648983641353e-26,1.5908968847405456e-23
Solyc01g094810.3,443.89779568347524,2.7105823829029525,0.2558286658996977,10.59530359262275,3.1332268772616274e-26,1.674673333025674e-23
Solyc09g010220.4,171.88604558840785,-5.8143942384470595,0.5570441362457963,-10.437941735879708,1.6637896181419977e-25,8.690653816763077e-23
Solyc06g062460.3,285.4535444706684,-6.293069879045055,0.6053208184272975,-10.396255485471775,2.5786830802984137e-25,1.3170194052110765e-22
Solyc04g079050.3,1452.382641160482,-2.755249023105924,0.26562322479313555,-10.372771527232535,3.298176163251579e-25,1.6478691904350225e-22
Solyc02g088340.4,751.9373144739454,-2.884545883194902,0.2812715870545303,-10.255375999409685,1.1193949170260801e-24,5.473841144257532e-22
Solyc01g091270.3,365.728809167717,3.240628813795811,0.31788544780720396,10.19432891989833,2.1019112223891565e-24,9.661645124833997e-22
Solyc10g024360.2,332.3139785087295,-2.41968215648278,0.23767541117025637,-10.180616263873695,2.4202373273874504e-24,1.090672833242074e-21
Solyc04g014730.4,150.1866873592986,3.1443254453616967,0.30905904596386324,10.173866406516206,2.594027101251444e-24,1.1248778276992818e-21
Solyc07g047790.3,1263.7440603976258,2.4879399806118947,0.24462606650218702,10.17037969904835,2.688585437332169e-24,1.1442918353000968e-21
Solyc01g103920.3,591.9629616696965,9.266604425617915,0.9126125015024913,10.153931060950537,3.1827878644839775e-24,1.3300002452624592e-21
Solyc10g084400.2,2487.593522019851,3.958299956749213,0.39107808844056885,10.121507887422196,4.435291761036786e-24,1.820291259712651e-21
Solyc03g058190.3,4063.208134060867,-2.437070941953945,0.24099035568114857,-10.112732250490572,4.851213118379759e-24,1.956060194731965e-21
Solyc12g087790.1,354.9707627624076,3.4651969583273106,0.34551848507557636,10.028977053338714,1.1368829988750207e-23,4.5049968901973445e-21
Solyc08g075490.4,4161.676298743258,-5.026920844907409,0.5037633831101958,-9.978734091135392,1.8886085075855834e-23,7.356930394888045e-21
Solyc11g020040.2,5790.037463200576,7.674366792043093,0.7713317002512485,9.94950264528645,2.5344667368801723e-23,9.7082748356195e-21
Solyc06g084390.3,224.02537493102702,2.6457356808067507,0.26630022226562516,9.935161368989478,2.927016432835939e-23,1.0850261076752964e-20
Solyc05g054590.4,194.73362640009424,-4.626752012298271,0.46583936179033963,-9.932076144266729,3.019030201269557e-23,1.1013709700917178e-20
Solyc06g005490.3,552.4634703228908,2.9241298570565237,0.2950836866912627,9.909493438435836,3.78560628399582e-23,1.3594467066418115e-20
Solyc05g014280.4,2401.506346151565,6.922439360920793,0.6988575014095695,9.905366039512334,3.9452269463275854e-23,1.39497155242226e-20
Solyc04g007880.4,1672.459569396338,2.1315458975848864,0.2161114481564286,9.863179002169304,6.01153153522988e-23,2.062134765286393e-20
Solyc12g040790.2,3165.125427169477,-4.303259370808741,0.4364368429357612,-9.859981897637672,6.206057930064864e-23,2.0975563148041293e-20
Solyc05g047590.4,322.5507548473105,-3.4107116226305476,0.34624895492478974,-9.850460410404425,6.823069593974204e-23,2.2484953546106103e-20
Solyc02g077140.3,480.3815379688587,-2.1754397866088873,0.2222588676365954,-9.787864978084215,1.2694809086527498e-22,4.109363341347345e-20
Solyc02g030450.3,381.40431789316466,3.2704433619001865,0.33534958876877086,9.752340457334546,1.802635702254325e-22,5.623955485467825e-20
Solyc03g116160.1,380.5624720937761,-2.5393349732130166,0.26040311725597365,-9.751553667911262,1.8166636657359043e-22,5.623955485467825e-20
Solyc08g078900.1,658.0675002025364,-4.616313535239118,0.4745654778999105,-9.72745332354903,2.3028602417290607e-22,6.964031175744605e-20
Solyc09g074500.3,81.58285101986154,12.103500896509845,1.2459962690743362,9.7139142362775,2.63037363024796e-22,7.85115287584271e-20
Solyc03g118060.3,192.07963717729132,9.676548346284028,1.0071347660118455,9.60799753205046,7.397356695957516e-22,2.1520689739644508e-19
Solyc03g065250.4,4422.406523667623,-2.356120199323387,0.24745027447577453,-9.521590567296185,1.7054838962966365e-21,4.8996420485732e-19
Solyc08g075880.4,140.7319832377987,-4.945010123572872,0.5243663549546065,-9.430448915817557,4.0833755418425736e-21,1.1444904887581447e-18
Solyc09g065610.2,324.48977524144965,2.439965869552325,0.25891365829650925,9.423859234023352,4.348061131608891e-21,1.2039938432261102e-18
Solyc09g097910.4,1382.4317679443627,-2.04240463545265,0.21689450347090425,-9.41658088503212,4.660160093626342e-21,1.2750530884739787e-18
Solyc04g074580.1,5515.156110604114,2.4901904546049884,0.2662323693058055,9.353447370423437,8.483652432763021e-21,2.293879810143441e-18
Solyc03g059205.1,40.1207170811748,6.770032000928611,0.723926070783117,9.351827864971124,8.61458869702286e-21,2.3021987444613535e-18
Solyc02g067750.4,823.5423471785087,9.891115327474715,1.059276712449149,9.3376123643892,9.85309121731314e-21,2.60291489020124e-18
Solyc06g036290.3,4894.865952844947,5.288447162932623,0.567947685977991,9.311504023167302,1.2603479818979055e-20,3.2916565531772234e-18
Solyc01g095700.3,1259.4751943190474,-2.1793000227505366,0.2341832090129226,-9.305961908781766,1.3278489197724689e-20,3.428983339677601e-18
Solyc01g057000.3,152.05705904770022,9.112005659821978,0.9894172445401025,9.209467199106065,3.2774768075118433e-20,8.277609831543372e-18
Solyc10g044840.2,717.4864833542532,-2.3744499932771177,0.25911428316302965,-9.163717122390974,5.013978327122525e-20,1.252568085785402e-17
Solyc10g006750.4,254.60578787227158,-2.4375195231201476,0.27076293029383564,-9.00241225959151,2.208116381169225e-19,5.456896643915301e-17
Solyc05g055010.4,344.8402004670638,3.564868417760623,0.3968994269645537,8.981792805861105,2.6639011407002106e-19,6.513238289012015e-17
Solyc02g022850.1,443.49133116839306,2.749665790677287,0.30626195629945996,8.978150025230986,2.7535744737929764e-19,6.661621276966734e-17
Solyc06g063090.4,346.6123969822489,2.0473155890720935,0.2283434132804493,8.965949836957195,3.0761798388229147e-19,7.364566795381985e-17
Solyc11g012510.3,1089.0170117571008,3.1876155098958003,0.35570408050784025,8.961425197441725,3.205085915825648e-19,7.516580571777639e-17
Solyc08g081810.3,165.58381155733085,-2.8148072722452118,0.3140992704940439,-8.961521202573397,3.202296113189916e-19,7.516580571777639e-17
Solyc09g091180.3,982.3034684929237,2.0164704733487904,0.22521460297753335,8.953551176030741,3.4422617315060053e-19,7.991262765171972e-17
Solyc09g075940.3,109.73777271100425,-3.840411372258685,0.43053015191048966,-8.920191431928174,4.654829075553708e-19,1.0592270954797117e-16
Solyc09g059650.4,121.89784597265141,3.012648364691322,0.3380519386431262,8.911791415199387,5.021453641560543e-19,1.13145165729398e-16
Solyc12g098810.2,271.6465983496162,4.294939499405654,0.48200294466806004,8.910608424526206,5.07532687088019e-19,1.1324877424605767e-16
Solyc04g078600.3,546.7812033340373,2.9118122547765943,0.32936231986904635,8.840757060292518,9.507217998856245e-19,2.1010037621895488e-16
Solyc04g072560.3,1222.1819878812437,2.0036624084769104,0.2270627881574562,8.824265854991065,1.1018019886431223e-18,2.411687152855703e-16
Solyc06g065990.1,3376.9894323648305,-3.8052256240516913,0.43292253000958847,-8.78962253123535,1.5006330039361989e-18,3.2232755448098746e-16
Solyc03g098760.3,471.30878096197335,7.445864313608406,0.8532790134274242,8.726177717297995,2.6342461379135723e-18,5.454313422312399e-16
Solyc05g050110.3,893.1715142141895,-3.0427193298120354,0.3490543155239921,-8.717036846384143,2.855772262470827e-18,5.860197670389912e-16
Solyc06g065380.4,349.27411610699517,-3.8592332385669366,0.44306602228243114,-8.710289312383514,3.0310019184268313e-18,6.164736025770253e-16
Solyc07g005210.3,2504.094685880289,2.3303574098663304,0.2689890502970893,8.663391343597553,4.579330063205438e-18,9.151890681969615e-16
Solyc10g074970.1,404.55091535516306,2.262302706020639,0.2614803834426868,8.651902204803472,5.064803872808559e-18,1.0034860983513716e-15
Solyc05g050830.3,117.87168300930486,-3.220300222451173,0.37239662351346986,-8.647501129490484,5.263938144763075e-18,1.0340264135135877e-15
Solyc09g089500.3,161.23112572785786,8.701607553574428,1.0092738814881217,8.621651380440325,6.599536536738234e-18,1.2853995612191088e-15
Solyc02g089340.4,293.0593702661967,2.4760214524655724,0.28862080151201336,8.57880457504901,9.586418571768414e-18,1.805939819958635e-15
Solyc02g069920.4,536.3061457609066,-2.934944520213569,0.3423632443819679,-8.572604005759185,1.0117091352653913e-17,1.8904155329922347e-15
Solyc08g081455.1,137.52825944677332,2.7618664547889775,0.3239420677582735,8.52580362254738,1.5175252903324636e-17,2.7462428147803946e-15
Solyc08g078700.2,1559.039429996325,5.815034423388837,0.6830461003383527,8.513384997745117,1.6892802681827252e-17,3.033181906534654e-15
Solyc05g013810.4,223.63156212902192,-2.180102828827039,0.25762839640349966,-8.462199273299612,2.623816729650242e-17,4.603296175385611e-15
Solyc03g007890.3,2178.08000379967,5.133709617256375,0.6090359145394547,8.429239548440131,3.479187180302114e-17,5.8795705121237864e-15
Solyc07g053270.3,238.5291057507461,-3.7875219752586946,0.4492880029449992,-8.43005366364602,3.455067386591443e-17,5.8795705121237864e-15
Solyc05g007780.3,1780.1445254011653,-2.9708966898244347,0.35508401286053826,-8.36674303044805,5.923267974571702e-17,9.864816511563872e-15
Solyc06g011350.3,1182.404664436435,2.9122178835424326,0.3487692523544946,8.349984592628047,6.827187181898119e-17,1.120780307154032e-14
Solyc04g010190.1,1413.7708727708225,-2.0459499616696513,0.24583637561428473,-8.322405325726612,8.619596482746102e-17,1.4049942266876146e-14
Solyc03g123710.3,362.23029685937354,4.135239511624323,0.49761364610895176,8.31014089737989,9.558850731675137e-17,1.547120185676688e-14
Solyc05g056370.4,776.7364640507652,-2.0376904569654113,0.24604661946420422,-8.281725070650126,1.2140361707545182e-16,1.9512023295420346e-14
Solyc09g098180.4,579.1532875889833,-2.388247829150657,0.2907345722811714,-8.214529873113838,2.1299706941676774e-16,3.3529531824695706e-14
Solyc12g096430.1,87.75979526719208,3.2155486236921043,0.3925047687500245,8.19238103509514,2.5610832519931945e-16,4.004175263983646e-14
Solyc03g098640.4,197.0620458113547,3.190189796217094,0.3896422010574458,8.187485307185083,2.6674078241807367e-16,4.114431813633951e-14
Solyc02g087230.3,2838.8249845671075,-2.584092314956477,0.3161070898422674,-8.174736973618337,2.965120059982328e-16,4.543156955904923e-14
Solyc10g079600.2,500.7958462289929,2.5239287358810185,0.30907645656101684,8.16603362146658,3.1869448779791844e-16,4.8506989490460654e-14
Solyc11g072710.3,3586.237697900932,-2.3116868761528453,0.2833940948660998,-8.157145537013003,3.430349559774942e-16,5.186823942914966e-14
Solyc03g115560.3,121.55592213002159,-2.451657582338699,0.3011365339139343,-8.141348877447696,3.9089823076628654e-16,5.796138088839718e-14
Solyc12g005340.3,3554.158000296167,2.5561949585798454,0.3147585687410598,8.121129057117846,4.618665664779975e-16,6.718404618584695e-14
Solyc09g075210.3,9431.218144176051,-3.4677100401539502,0.42994822161414337,-8.065413149367654,7.298860919862866e-16,1.0484357532575517e-13
Solyc10g080610.1,1457.2686706676084,-2.488910536326121,0.3104646084813372,-8.016728697357255,1.0859862751641633e-15,1.540692750746788e-13
Solyc02g079415.1,448.12105967000974,-2.6138529952759866,0.3263841965554859,-8.008515800891807,1.161010470721457e-15,1.627042905401905e-13
Solyc04g080010.4,825.0683758870639,-2.2147092451132417,0.27768189276892297,-7.975706384846075,1.515117437016771e-15,2.0977074731901474e-13
Solyc08g005580.3,91.63896676425443,-3.80399074555523,0.4771869657095723,-7.97169876570022,1.5650791952392843e-15,2.1539050984541598e-13
Solyc02g088610.4,2227.8128919311116,2.996910819997763,0.3764861480158191,7.9602153646084215,1.7174009075093909e-15,2.3494657772195435e-13
Solyc12g089000.2,403.19113717572475,2.2626870243460218,0.2846732216804815,7.948366238977236,1.88987245837026e-15,2.570114716610869e-13
Solyc01g099910.4,311.92929092100076,-3.7899144872403108,0.47758872174873673,-7.935519233710496,2.09616502741233e-15,2.8173193464922563e-13
Solyc02g080040.4,209.94728399722177,3.389467051747092,0.4273994968515235,7.930442306825121,2.183667385130929e-15,2.917862064678148e-13
Solyc11g066100.2,1133.9621700805185,3.589023397062501,0.4527954378515374,7.926368282533956,2.25647742412895e-15,2.997723736344258e-13
Solyc06g007160.4,1217.6889447078327,-2.776924646501315,0.3507208571298769,-7.917763058707913,2.4182162393251283e-15,3.1941301050810013e-13
Solyc06g084420.1,154.60831688751588,-5.40985768955425,0.6838525131795854,-7.910854439067588,2.556282812682982e-15,3.3006206676344366e-13
Solyc11g045460.3,114.52660284403491,-3.9766541054250775,0.5028119105881115,-7.908830363174579,2.5981836325381585e-15,3.335980694224832e-13
Solyc08g016670.3,1082.922091045835,2.61103218662349,0.33187393587204167,7.867542173092518,3.616763641345832e-15,4.618004376058404e-13
Solyc01g092950.3,1010.4463977129113,-2.2466338016879357,0.28575384328435427,-7.862129782283647,3.776564396932762e-15,4.795402184237882e-13
Solyc12g094385.1,156.74529497205484,-3.1335308466466123,0.398794009704434,-7.857517340767047,3.9182177698447936e-15,4.947934011227632e-13
Solyc07g006230.1,198.8226143014283,-3.967458964050092,0.506095579095188,-7.839347206200116,4.528946700098215e-15,5.65699902219333e-13
Solyc02g079250.4,503.94348213323883,-2.1962988317234005,0.28042690243154855,-7.831983353521195,4.802331293551949e-15,5.966052979443483e-13
Solyc01g098800.4,547.2506381615818,2.7573202667993253,0.35310384959189967,7.808808286814496,5.773123552225204e-15,7.057643542595312e-13
Solyc01g010480.3,1327.2291607850725,-5.835096228937666,0.7479715672784706,-7.8012273249489095,6.130795826193579e-15,7.416004235442475e-13
Solyc10g054840.2,328.0851767059502,-3.1349962979198907,0.4021655684151817,-7.795287672870666,6.426190846767636e-15,7.732625352422021e-13
Solyc10g083340.3,191.02288615366933,-2.1127559847567525,0.2713876644991328,-7.785011115578923,6.970707858261054e-15,8.344155140959053e-13
Solyc08g079590.3,378.5010737628208,2.127061470276864,0.2733425846844494,7.7816688268034575,7.15740319162574e-15,8.52324339653546e-13
Solyc11g010470.2,5953.5973957914475,-2.0091908357483512,0.25867022586812055,-7.767383466749316,8.012399599615011e-15,9.492215463811948e-13
Solyc03g123540.3,199.49791393168496,4.721371314829872,0.6082542096510004,7.762167922419914,8.348975913422775e-15,9.7900261948059e-13
Solyc07g052950.3,510.25614250818717,-3.3697622251100507,0.43894919849563724,-7.676884333446489,1.6300448617692612e-14,1.882578947640348e-12
Solyc03g058430.3,367.7638280001432,-2.5198339698390955,0.3298571224876474,-7.639167985325097,2.1862990847888766e-14,2.475256742152845e-12
Solyc01g091050.4,254.61035914471262,-4.219557061623202,0.5541214686311777,-7.614859377397145,2.639787086818289e-14,2.974030716487487e-12
Solyc11g005420.3,257.48026332676784,-2.4316692967608247,0.31945709655710375,-7.611880665565861,2.7013592826359815e-14,3.013851475379746e-12
Solyc03g020080.4,38.12217119263436,9.382424231257106,1.2325316685739665,7.61231899389046,2.692210860260979e-14,3.013851475379746e-12
Solyc02g090560.3,540.7100938478941,2.3592666037081655,0.3106884198916902,7.593674088434434,3.109599321811074e-14,3.403234343484948e-12
Solyc06g061190.1,303.3034927448377,2.2163641923619983,0.292152936516479,7.586314958148583,3.291318225846475e-14,3.5850410798402624e-12
Solyc10g047300.2,205.0003769810099,2.0898382955545642,0.2756735143712389,7.580845408094809,3.433104746078653e-14,3.704368374606839e-12
Solyc05g053620.3,178.38889340428986,6.678032847862406,0.8817528973429337,7.573587643415666,3.6305557575848415e-14,3.8809796733289495e-12
Solyc06g084320.1,231.08354625358416,-2.2924923847297003,0.3032821282587431,-7.558943212024269,4.0635725072017514e-14,4.284086556560452e-12
Solyc10g084940.3,330.1978404184252,-2.6815005112183834,0.3549048804065117,-7.555547019096962,4.1710310499723334e-14,4.357400300977915e-12
Solyc11g012930.2,658.1091295771314,-2.3501136669681117,0.3111121618971108,-7.553911273148261,4.223779738136866e-14,4.392539806407221e-12
Solyc08g080190.4,754.1179086725591,-2.3027350759265217,0.3050435272873619,-7.5488737505885934,4.390381975130484e-14,4.54523193398306e-12
