Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Solyc06g011350.3,1182.404664436435,2.558831017406969,0.3461586032125434,7.392076908271529,1.4455286941835973e-13,1.0858811550707182e-09
Solyc07g006560.3,251.2589408245959,-7.882600233242531,1.1176498244085769,-7.052835388234183,1.7530820145969864e-12,9.876864070239422e-09
Solyc02g032100.4,135.59760831335194,-3.4439866784651576,0.49242488922510397,-6.993932991252186,2.6728525725286797e-12,1.2047081114901265e-08
Solyc05g024020.1,77.31174737811348,-3.1387165678070867,0.45775968762758773,-6.856690644984454,7.047401229823789e-12,2.6470039019218153e-08
Solyc02g088240.4,116.86251322144794,3.0674470193710115,0.4508245176296579,6.804082074992313,1.0169555213739852e-11,3.274015661383447e-08
Solyc04g009980.4,101.3717387925595,-4.058744084879402,0.5991803051595872,-6.773827594013435,1.2541912095404102e-11,3.5330566372753353e-08
Solyc11g011310.3,57.00235463678604,3.2314396220668766,0.4966825092896374,6.506046743398572,7.715422764128933e-11,1.6570992034183449e-07
Solyc08g062620.3,58.46616759432796,-4.295730429788518,0.6653191652321389,-6.456646154616152,1.0704879563457626e-10,2.0103763820173422e-07
Solyc07g052480.3,2597.54769544864,-2.813771375833761,0.4473025948680772,-6.2905321992679815,3.1637941430600004e-10,5.484558831384629e-07
Solyc10g085310.1,247.42073656741678,-2.504006685224462,0.41244537140453785,-6.071123253722886,1.2701865064237873e-09,1.746773022689241e-06
Solyc08g062960.4,612.6084240978732,2.7456654884498373,0.4526896652359366,6.065226797300151,1.3176757803388843e-09,1.746773022689241e-06
Solyc05g054930.3,149.94105473238147,-2.114861585815712,0.3505915454323323,-6.032266360581423,1.6167599834637702e-09,1.917647525649449e-06
Solyc05g024260.3,1700.0522975466536,2.5808791573204397,0.42728450818430025,6.040188932399186,1.5393387609616358e-09,1.917647525649449e-06
Solyc01g103920.3,591.9629616696965,5.415400383057059,0.9075901145581742,5.96679084114236,2.4196525137665456e-09,2.7264644525121435e-06
Solyc02g065230.3,42.82810675524371,-4.430679842490709,0.7524209983581606,-5.888564848879533,3.895636848583073e-09,3.990548728166733e-06
Solyc09g084450.3,392.2090309684525,-6.863136433785645,1.1704639232073295,-5.863603565822974,4.529281226068078e-09,4.3019897922323495e-06
Solyc08g062437.1,2092.943728843455,2.92464474091087,0.49894119382773866,5.861702294961467,4.581458777670233e-09,4.3019897922323495e-06
Solyc06g082210.1,39.57960396303126,-3.1784989904795435,0.5485505403035852,-5.79435941986396,6.858244280411061e-09,5.519906896547989e-06
Solyc03g005280.4,326.82635203247213,-2.121786098470436,0.3666675105312899,-5.786676041725196,7.1792843735367764e-09,5.579046642828441e-06
Solyc08g076080.3,54.29583548993105,-2.7301296854050774,0.4735804665142756,-5.764869707358971,8.172094940897152e-09,6.1388777196019405e-06
Solyc02g085145.1,108.0680139227928,-2.2091759108546456,0.3857149296531654,-5.727483540347103,1.0193132385455051e-08,6.960982770867122e-06
Solyc12g096780.2,492.3539802975047,-5.18956021505782,0.90997360791913,-5.7029788225671485,1.1773161414889086e-08,7.5805704470268695e-06
Solyc03g059205.1,40.1207170811748,4.121722744701897,0.7250149737692098,5.685017404914926,1.3079933804100295e-08,7.966740221870384e-06
Solyc08g081480.3,545.3579229448577,-2.1274337210610845,0.3773964876033125,-5.637131745903433,1.729058323859672e-08,9.741514596625391e-06
Solyc06g076550.4,57.7148637548828,5.354414352233081,0.954799557960569,5.607893622898185,2.048038357481869e-08,1.0989188672431285e-05
Solyc04g014790.1,38.521277829451286,-2.625502198713715,0.47369866726025295,-5.542557706355649,2.980851204375476e-08,1.4928102831512384e-05
Solyc01g057000.3,152.05705904770022,5.456491641788141,0.9871139180915462,5.5277223244279075,3.244149782405709e-08,1.5893512933977185e-05
Solyc12g005300.2,771.8290401092208,-2.374040995176168,0.4297814655457728,-5.52383289065621,3.3168295110755554e-08,1.5903844651403982e-05
Solyc02g079930.3,205.56939737714157,3.0220208937225195,0.5502396591236778,5.492190254943543,3.969793962943727e-08,1.825781158140813e-05
Solyc03g045110.3,34.36038884266352,2.852127479264383,0.5203316894645255,5.481364170226715,4.2205869642417325e-08,1.9023029565230337e-05
Solyc03g117250.4,1416.9211679523946,-3.0563787917975334,0.5587700270838838,-5.469833104234674,4.5045955640531523e-08,1.9905012868921928e-05
Solyc05g050090.4,291.23436456398434,-2.1782181428094556,0.3993521918824733,-5.4543788342358495,4.9144331084322325e-08,2.089654047766581e-05
Solyc02g087890.4,98.8777921034704,3.941829639064076,0.7255784193658296,5.43267210525544,5.5516365430152884e-08,2.301163287529432e-05
Solyc03g007230.4,880.461675704864,2.8736215106722938,0.5345836214616878,5.375438743923879,7.639642209276807e-08,3.020473277688809e-05
Solyc09g082760.3,2007.1404875997157,-2.979788040155383,0.5547247291672901,-5.371651710260711,7.801868940573958e-08,3.031429628358185e-05
Solyc12g088190.2,549.7421175310725,2.813849249761174,0.5254051667892765,5.355579708049808,8.528254004043011e-08,3.203212203918555e-05
Solyc07g006570.4,639.8314711683119,-4.711628274307395,0.8817841857370532,-5.343289605913159,9.127475826286573e-08,3.317690245503133e-05
Solyc10g081300.1,183.7740522094056,-3.4623925496948087,0.6477382554304288,-5.34535751233963,9.023876186054998e-08,3.317690245503133e-05
Solyc08g081610.4,273.35188723566034,-4.376006267158478,0.8219103721663026,-5.32418912736759,1.0140435987893551e-07,3.6273788162407785e-05
