source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:CC,GO:0009507,chloroplast,7.139196897138044e-37,True,"""A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma."" [ISBN:0471245208]",916,322,115,9569,0.35714285714285715,0.12554585152838427,query_1,['GO:0009536']
GO:CC,GO:0009536,plastid,2.8603545893052037e-36,True,"""Any member of a family of organelles found in the cytoplasm of plants and some protists, which are membrane-bounded and contain DNA. Plant plastids develop from a common type, the proplastid."" [GOC:jl, ISBN:0198547684]",945,322,116,9569,0.36024844720496896,0.12275132275132275,query_1,"['GO:0005737', 'GO:0043231']"
GO:CC,GO:0009526,plastid envelope,2.8947792601298006e-30,True,"""The double lipid bilayer enclosing a plastid and separating its contents from the rest of the cytoplasm; includes the intermembrane space."" [GOC:jy]",311,322,63,9569,0.1956521739130435,0.20257234726688103,query_1,"['GO:0009536', 'GO:0031967']"
GO:CC,GO:0042651,thylakoid membrane,1.125672111284258e-29,True,"""The pigmented membrane of any thylakoid."" [GOC:jl, GOC:pr]",205,322,52,9569,0.16149068322981366,0.25365853658536586,query_1,['GO:0034357']
GO:CC,GO:0034357,photosynthetic membrane,3.845945355718447e-29,True,"""A membrane enriched in complexes formed of reaction centers, accessory pigments and electron carriers, in which photosynthetic reactions take place."" [GOC:ds, GOC:mah]",249,322,56,9569,0.17391304347826086,0.2248995983935743,query_1,"['GO:0009579', 'GO:0016020']"
GO:CC,GO:0009579,thylakoid,5.489213447515945e-29,True,"""A membranous cellular structure that bears the photosynthetic pigments in plants, algae, and cyanobacteria. In cyanobacteria thylakoids are of various shapes and are attached to, or continuous with, the plasma membrane. In eukaryotes they are flattened, membrane-bounded disk-like structures located in the chloroplasts; in the chloroplasts of higher plants the thylakoids form dense stacks called grana. Isolated thylakoid preparations can carry out photosynthetic electron transport and the associated phosphorylation."" [GOC:ds, GOC:mtg_sensu, ISBN:0198506732]",315,322,62,9569,0.19254658385093168,0.19682539682539682,query_1,['GO:0043232']
GO:BP,GO:0015979,photosynthesis,6.944676786526048e-29,True,"""The synthesis by organisms of organic chemical compounds, especially carbohydrates, from carbon dioxide (CO2) using energy obtained from light rather than from the oxidation of chemical compounds."" [ISBN:0198547684]",227,387,51,13630,0.13178294573643412,0.22466960352422907,query_1,['GO:0008152']
GO:CC,GO:0009534,chloroplast thylakoid,9.888503720320568e-29,True,"""Sac-like membranous structures (cisternae) in a chloroplast combined into stacks (grana) and present singly in the stroma (stroma thylakoids or frets) as interconnections between grana. An example of this component is found in Arabidopsis thaliana."" [GOC:mtg_sensu, ISBN:0943088399]",204,322,51,9569,0.15838509316770186,0.25,query_1,"['GO:0009507', 'GO:0031976']"
GO:CC,GO:0031976,plastid thylakoid,9.888503720320568e-29,True,"""Any thylakoid within a plastid."" [GOC:pz]",204,322,51,9569,0.15838509316770186,0.25,query_1,"['GO:0009536', 'GO:0009579']"
GO:CC,GO:0009535,chloroplast thylakoid membrane,3.498139557432603e-26,True,"""The pigmented membrane of a chloroplast thylakoid. An example of this component is found in Arabidopsis thaliana."" [GOC:lr, GOC:mtg_sensu]",180,322,46,9569,0.14285714285714285,0.25555555555555554,query_1,"['GO:0009534', 'GO:0031968', 'GO:0055035']"
GO:CC,GO:0055035,plastid thylakoid membrane,3.498139557432603e-26,True,"""The lipid bilayer membrane of any thylakoid within a plastid."" [GOC:jid, GOC:rph]",180,322,46,9569,0.14285714285714285,0.25555555555555554,query_1,"['GO:0031976', 'GO:0042170', 'GO:0042651']"
GO:CC,GO:0009532,plastid stroma,1.544476425431527e-23,True,"""The proteinaceous ground substance of plastids."" [ISBN:0943088399]",205,322,46,9569,0.14285714285714285,0.22439024390243903,query_1,"['GO:0009536', 'GO:0110165']"
GO:CC,GO:0042170,plastid membrane,2.0693530936493766e-23,True,"""Either of the lipid bilayers that surround a plastid and form the plastid envelope."" [GOC:mah]",227,322,48,9569,0.14906832298136646,0.21145374449339208,query_1,"['GO:0009526', 'GO:0031090']"
GO:CC,GO:0031968,organelle outer membrane,4.307437161709184e-23,True,"""The outer, i.e. cytoplasm-facing in a cellular organelle, lipid bilayer of an organelle envelope."" [GOC:mah]",220,322,47,9569,0.14596273291925466,0.21363636363636362,query_1,"['GO:0019867', 'GO:0031967', 'GO:0098588']"
GO:CC,GO:0009570,chloroplast stroma,1.2030429205215452e-22,True,"""The space enclosed by the double membrane of a chloroplast but excluding the thylakoid space. It contains DNA, ribosomes and some temporary products of photosynthesis."" [ISBN:0198547684]",194,322,44,9569,0.13664596273291926,0.2268041237113402,query_1,"['GO:0009507', 'GO:0009532']"
GO:CC,GO:0019867,outer membrane,1.2159636944310757e-22,True,"""The external membrane of Gram-negative bacteria or certain organelles such as mitochondria and chloroplasts; freely permeable to most ions and metabolites."" [GOC:go_curators]",225,322,47,9569,0.14596273291925466,0.2088888888888889,query_1,['GO:0016020']
GO:CC,GO:0009521,photosystem,1.5808998830808764e-20,True,"""A complex located in a photosynthetic membrane that consists of a photoreaction center associated with accessory pigments and electron carriers. Examples of this component are found in Arabidopsis thaliana and in photosynthetic bacterial and archaeal species."" [GOC:ds, GOC:mah, ISBN:0140514031, PMID:9821949]",112,322,33,9569,0.10248447204968944,0.29464285714285715,query_1,"['GO:0034357', 'GO:0098796']"
GO:CC,GO:0031967,organelle envelope,1.613043303438003e-20,True,"""A double membrane structure enclosing an organelle, including two lipid bilayers and the region between them. In some cases, an organelle envelope may have more than two membranes."" [GOC:mah, GOC:pz]",486,322,65,9569,0.20186335403726707,0.1337448559670782,query_1,"['GO:0043227', 'GO:0043229', 'GO:0110165']"
GO:CC,GO:0009522,photosystem I,3.1390935286866796e-15,True,"""A photosystem that contains an iron-sulfur reaction center associated with accessory pigments and electron carriers. In cyanobacteria and chloroplasts, photosystem I functions as a light-dependent plastocyanin-ferredoxin oxidoreductase, transferring electrons from plastocyanin to ferredoxin; in photosynthetic bacteria that have only a single type I photosystem, such as the green sulfur bacteria, electrons can go either to ferredoxin (Fd) -> NAD+ or to menaquinone (MK) -> Cytb/FeS -> Cytc555 -> photosystem I (cyclic photophosphorylation)."" [GOC:ds, GOC:mah, ISBN:0140514031, PMID:9821949]",49,322,20,9569,0.062111801242236024,0.40816326530612246,query_1,['GO:0009521']
GO:CC,GO:0009523,photosystem II,8.778471172998925e-15,True,"""A photosystem that contains a pheophytin-quinone reaction center with associated accessory pigments and electron carriers. In cyanobacteria and chloroplasts, in the presence of light, PSII functions as a water-plastoquinone oxidoreductase, transferring electrons from water to plastoquinone, whereas other photosynthetic bacteria carry out anoxygenic photosynthesis and oxidize other compounds to re-reduce the photoreaction center."" [GOC:ds, GOC:mah, ISBN:0943088399, PMID:9821949]",65,322,22,9569,0.06832298136645963,0.3384615384615385,query_1,['GO:0009521']
GO:CC,GO:0009941,chloroplast envelope,1.463911658976645e-14,True,"""The double lipid bilayer enclosing the chloroplast and separating its contents from the rest of the cytoplasm; includes the intermembrane space."" [GOC:tb]",158,322,32,9569,0.09937888198757763,0.20253164556962025,query_1,"['GO:0009507', 'GO:0009526']"
GO:BP,GO:0019684,"photosynthesis, light reaction",5.697035436148349e-14,True,"""The light reactions of photosynthesis, which take place in photosystems II and I. Light energy is harvested and used to power the transfer of electrons among a series of electron donors and acceptors. The final electron acceptor is NADP+, which is reduced to NADPH. NADPH generated from light reactions is used in sugar synthesis in dark reactions. Light reactions also generate a proton motive force across the thylakoid membrane, and the proton gradient is used to synthesize ATP. There are two chemical reactions involved in the light reactions: water oxidation in photosystem II, and NADP reduction in photosystem I."" [PMID:15746074]",125,387,27,13630,0.06976744186046512,0.216,query_1,"['GO:0006091', 'GO:0015979']"
GO:CC,GO:0098588,bounding membrane of organelle,5.177339562900954e-12,True,"""The lipid bilayer that forms the outer-most layer of an organelle."" [GOC:dos]",549,322,56,9569,0.17391304347826086,0.10200364298724955,query_1,['GO:0031090']
GO:BP,GO:0009768,"photosynthesis, light harvesting in photosystem I",5.82132956269637e-12,True,"""After a photon of light is absorbed by one of the many chlorophyll molecules, in one of the light-harvesting complexes of an antenna on photosystem I, some of the absorbed energy is transferred to the pair of chlorophyll molecules in the reaction center."" [GOC:jid, ISBN:0716731363, ISBN:0816017360]",15,387,11,13630,0.028423772609819122,0.7333333333333333,query_1,['GO:0009765']
GO:BP,GO:0009765,"photosynthesis, light harvesting",1.6848522437572323e-11,True,"""Absorption and transfer of the energy absorbed from light photons between photosystem reaction centers."" [GOC:sm]",31,387,14,13630,0.03617571059431524,0.45161290322580644,query_1,"['GO:0006091', 'GO:0019684']"
