source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:MF,GO:0003723,RNA binding,1.2723396046893138e-24,True,"""Binding to an RNA molecule or a portion thereof."" [GOC:jl, GOC:mah]",1206,1904,253,17687,0.1328781512605042,0.20978441127694858,query_1,['GO:0003676']
GO:CC,GO:0005622,intracellular anatomical structure,1.0480240142058385e-22,True,"""A component of a cell contained within (but not including) the plasma membrane. In eukaryotes it includes the nucleus and cytoplasm."" [ISBN:0198506732]",6855,1312,1089,9569,0.8300304878048781,0.1588621444201313,query_1,['GO:0110165']
GO:CC,GO:0005737,cytoplasm,1.010545522957694e-18,True,"""The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."" [ISBN:0198547684]",4062,1312,713,9569,0.5434451219512195,0.17552929591334318,query_1,"['GO:0005622', 'GO:0110165']"
GO:CC,GO:0043231,intracellular membrane-bounded organelle,2.0691565376671335e-18,True,"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane and occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]",5083,1312,851,9569,0.6486280487804879,0.167420814479638,query_1,"['GO:0043227', 'GO:0043229']"
GO:CC,GO:0043227,membrane-bounded organelle,3.1237478632060304e-18,True,"""Organized structure of distinctive morphology and function, bounded by a single or double lipid bilayer membrane. Includes the nucleus, mitochondria, plastids, vacuoles, and vesicles. Excludes the plasma membrane."" [GOC:go_curators]",5096,1312,852,9569,0.649390243902439,0.16718995290423863,query_1,['GO:0043226']
GO:BP,GO:0006396,RNA processing,3.689918646295527e-15,True,"""Any process involved in the conversion of one or more primary RNA transcripts into one or more mature RNA molecules."" [GOC:mah]",585,1607,142,13630,0.08836341008089608,0.24273504273504273,query_1,"['GO:0010467', 'GO:0032774', 'GO:0044238']"
GO:BP,GO:0009451,RNA modification,2.0694892289743305e-13,True,"""The covalent alteration of one or more nucleotides within an RNA molecule to produce an RNA molecule with a sequence that differs from that coded genetically."" [GOC:go_curators, ISBN:1555811337]",386,1607,103,13630,0.0640945861854387,0.266839378238342,query_1,"['GO:0016070', 'GO:0043412']"
GO:CC,GO:0005739,mitochondrion,1.468579766803098e-12,True,"""A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."" [GOC:giardia, ISBN:0198506732]",560,1312,143,9569,0.10899390243902439,0.25535714285714284,query_1,"['GO:0005737', 'GO:0043231']"
GO:CC,GO:0043229,intracellular organelle,2.7142034150413824e-10,True,"""Organized structure of distinctive morphology and function, occurring within the cell. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton. Excludes the plasma membrane."" [GOC:go_curators]",5820,1312,911,9569,0.694359756097561,0.15652920962199313,query_1,"['GO:0005622', 'GO:0043226']"
GO:CC,GO:0043226,organelle,3.9141451130063907e-10,True,"""Organized structure of distinctive morphology and function. Includes the nucleus, mitochondria, plastids, vacuoles, vesicles, ribosomes and the cytoskeleton, and prokaryotic structures such as anammoxosomes and pirellulosomes. Excludes the plasma membrane."" [GOC:go_curators]",5834,1312,912,9569,0.6951219512195121,0.15632499142955092,query_1,['GO:0110165']
