connectivity,dynamicColors,moduleColors,moduleLabels,external_gene_name,gene_name,gene_biotype
23.1309641731408,chartreuse,chartreuse,3.0,Solyc04g071030,Solyc04g071030.1,RING-type E3 ubiquitin transferase (AHRD V3.3 *** A0A2G2WYL4_CAPBA)
22.66526686035738,chartreuse,chartreuse,3.0,Solyc11g012510,Solyc11g012510.3,GRAS1
21.785763197768343,chartreuse,chartreuse,3.0,Solyc05g009650,Solyc05g009650.4,Unknown protein
20.7527255970749,chartreuse,chartreuse,3.0,Solyc08g008370,Solyc08g008370.3,DCD (Development and Cell Death) domain protein (AHRD V3.3 *-* A0A2U1P2J5_ARTAN)
20.365373425708007,chartreuse,chartreuse,3.0,Solyc01g106390,Solyc01g106390.3,Glutamyl-tRNA reductase (AHRD V3.3 *** A0A2G2Y3E1_CAPAN)
20.219649116733766,chartreuse,chartreuse,3.0,Solyc03g122270,Solyc03g122270.4,Inter-alpha-trypsin inhibitor heavy chain-like protein (AHRD V3.3 *** Q8L798_ARATH)
20.027992816482424,chartreuse,chartreuse,3.0,Solyc04g008100,Solyc04g008100.3,RING-type E3 ubiquitin transferase (AHRD V3.3 *** A0A2G2ZH40_CAPAN)
19.849773989994066,chartreuse,chartreuse,3.0,Solyc02g081920,Solyc02g081920.3,"Ribulose-1,5 bisphosphate carboxylase/oxygenase large subunit N-methyltransferase, chloroplastic (AHRD V3.3 *** A0A1J3I115_NOCCA)"
18.87622133587111,chartreuse,chartreuse,3.0,Solyc08g006320,Solyc08g006320.4,WRKY transcription factor 11
18.44480126547371,chartreuse,chartreuse,3.0,Solyc09g074500,Solyc09g074500.3,Unknown protein
