connectivity,dynamicColors,moduleColors,moduleLabels,external_gene_name,gene_name,gene_biotype
104.78410837255952,dimgrey,dimgrey,8.0,Solyc02g082660,Solyc02g082660.3,DNA mismatch repair protein MLH3 (AHRD V3.3 *** A0A2G3A9Q9_CAPAN)
94.02347257387076,dimgrey,dimgrey,8.0,Solyc02g090130,Solyc02g090130.4,"Vacuolar protein sorting-associated protein, putative (DUF1162) (AHRD V3.3 *** F4J0L9_ARATH)"
92.99970600268647,dimgrey,dimgrey,8.0,Solyc09g092240,Solyc09g092240.3,small subunit processome component 20 homolog isoform X1 (AHRD V3.3 *** A0A2I4HWH3_9ROSI)
89.81761749305461,dimgrey,dimgrey,8.0,Solyc03g112230,Solyc03g112230.4,"PB1 domain, Zinc finger, ZZ-type, UBA-like, Next to BRCA1, central domain protein (AHRD V3.3 *-* A0A2U1P8J3_ARTAN)"
88.66294423977368,dimgrey,dimgrey,8.0,Solyc08g079260,Solyc08g079260.3,TPR repeat-containing thioredoxin TDX (AHRD V3.3 *-* A0A2G2XKR1_CAPBA)
88.57618225239212,dimgrey,dimgrey,8.0,Solyc02g030450,Solyc02g030450.3,Protein ROOT HAIR DEFECTIVE 3 homolog (AHRD V3.3 *** A0A2G3D211_CAPCH)
88.35495648088988,dimgrey,dimgrey,8.0,Solyc10g076600,Solyc10g076600.2,Acyl-CoA oxidase/dehydrogenase (AHRD V3.3 *** A0A200PWV2_9MAGN)
87.99480279807186,dimgrey,dimgrey,8.0,Solyc11g006320,Solyc11g006320.2,Ubiquitin carboxyl-terminal hydrolase 12 (AHRD V3.3 *** A0A2G3B1E4_CAPCH)
87.74139788849678,dimgrey,dimgrey,8.0,Solyc04g078600,Solyc04g078600.3,hypothetical protein (AHRD V3.3 *** AT5G47830.1)
86.9031879617784,dimgrey,dimgrey,8.0,Solyc09g007310,Solyc09g007310.3,E3 ubiquitin-protein ligase UPL4 (AHRD V3.3 *** A0A2G2YQF0_CAPAN)
