connectivity,dynamicColors,moduleColors,moduleLabels,external_gene_name,gene_name,gene_biotype
1.877434611530258,gold,gold,11.0,Solyc03g059100,Solyc03g059100.3,WD40 repeat (AHRD V3.3 *** A0A200Q432_9MAGN)
1.70970290908615,gold,gold,11.0,Solyc09g008460,Solyc09g008460.3,RAB GTPase (AHRD V3.3 *** A0A2U1PC99_ARTAN)
1.677224797042944,gold,gold,11.0,Solyc02g068010,Solyc02g068010.4,TRAM/LAG1/CLN8-like domain-containing protein (AHRD V3.3 *-* A0A2U1PG06_ARTAN)
1.610857514965228,gold,gold,11.0,Solyc09g014450,Solyc09g014450.4,Clathrin light chain (AHRD V3.3 *** A0A2G3BKE5_CAPCH)
1.5276092580109257,gold,gold,11.0,Solyc08g077460,Solyc08g077460.3,SBP (S-ribonuclease binding protein) family protein (AHRD V3.3 *** Q8LCK5_ARATH)
1.4834204749063038,gold,gold,11.0,Solyc06g034160,Solyc06g034160.3,Autophagy-related protein 3 (AHRD V3.3 *** A0A2G2WIK5_CAPBA)
1.4414907063406404,gold,gold,11.0,Solyc10g085570,Solyc10g085570.3,CTR1-like protein kinase-4
1.3781508137096905,gold,gold,11.0,Solyc01g067100,Solyc01g067100.4,Cullin (AHRD V3.3 *** A0A200Q1J8_9MAGN)
1.3428971405625738,gold,gold,11.0,Solyc09g007680,Solyc09g007680.4,"Zinc finger, RING-CH-type, Zinc finger, RING/FYVE/PHD-type (AHRD V3.3 *** A0A2U1LSH5_ARTAN)"
1.327784425442811,gold,gold,11.0,Solyc04g079210,Solyc04g079210.3,Patatin (AHRD V3.3 *** A0A2G2X0P8_CAPBA)
