connectivity,dynamicColors,moduleColors,moduleLabels,external_gene_name,gene_name,gene_biotype
3.736970203080452,lawngreen,lawngreen,13.0,Solyc08g079090,Solyc08g079090.4,Monocopper oxidase-like protein sku5 (AHRD V3.3 *** A0A1J6IJ65_NICAT)
3.5959129339396783,lawngreen,lawngreen,13.0,Solyc04g079400,Solyc04g079400.3,MAP kinase kinase kinase 35
3.442473113166492,lawngreen,lawngreen,13.0,Solyc01g008560,Solyc01g008560.3,NAD kinase (AHRD V3.3 *** F2Z9R4_NICBE)
3.4156467802305563,lawngreen,lawngreen,13.0,Solyc04g078550,Solyc04g078550.3,WRKY transcription factor 7
3.356995428421767,lawngreen,lawngreen,13.0,Solyc02g064680,Solyc02g064680.4,Calcium-transporting ATPase (AHRD V3.3 *** A0A1U8FI07_CAPAN)
3.2805983500636504,lawngreen,lawngreen,13.0,Solyc05g041910,Solyc05g041910.3,Cytochrome b561 and DOMON domain-containing protein (AHRD V3.3 *** A0A2G3BZZ3_CAPCH)
3.260102027331529,lawngreen,lawngreen,13.0,Solyc10g079130,Solyc10g079130.2,MAP kinase kinase kinase 76
3.1717530295852017,lawngreen,lawngreen,13.0,Solyc08g076390,Solyc08g076390.3,Transcription factor jumonji (Jmj) family protein / zinc finger (C5HC2 type) family protein (AHRD V3.3 *** F4KIX0_ARATH)
3.029623933249497,lawngreen,lawngreen,13.0,Solyc01g058720,Solyc01g058720.4,Calcium-binding EF-hand (AHRD V3.3 *** A0A2U1NQC6_ARTAN)
3.014597144994661,lawngreen,lawngreen,13.0,Solyc02g081500,Solyc02g081500.3,Receptor kinase LRK10
