connectivity,dynamicColors,moduleColors,moduleLabels,external_gene_name,gene_name,gene_biotype
3.700643323530365,lightsalmon,lightsalmon,16.0,Solyc03g111310,Solyc03g111310.3,Snf1-related protein kinase regulatory subunit gamma-1 (AHRD V3.3 *** A0A1J6IJ95_NICAT)
3.294070265478195,lightsalmon,lightsalmon,16.0,Solyc09g064820,Solyc09g064820.1,EID1-like F-box protein 3 (AHRD V3.3 *** A0A2G3BFQ9_CAPCH)
3.29008005966494,lightsalmon,lightsalmon,16.0,Solyc10g078510,Solyc10g078510.3,"Glucan endo-1,3-beta-glucosidase 5 (AHRD V3.3 *** A0A1U8E9Q3_CAPAN)"
3.1741142275777294,lightsalmon,lightsalmon,16.0,Solyc08g006765,Solyc08g006765.1,N-acetyltransferase (AHRD V3.3 *** B6T916_MAIZE)
3.1635900668386836,lightsalmon,lightsalmon,16.0,Solyc01g096320,Solyc01g096320.3,Homeobox-leucine zipper protein HOX6 (AHRD V3.3 *** A0A1U8DTA9_CAPAN)
3.098751716850992,lightsalmon,lightsalmon,16.0,Solyc07g007120,Solyc07g007120.3,class II knotted-like homeodomain protein
2.985567163825945,lightsalmon,lightsalmon,16.0,Solyc10g078590,Solyc10g078590.2,Jacalin-related lectin 3 (AHRD V3.3 *-* A0A2G3BI13_CAPCH)
2.9768395238858076,lightsalmon,lightsalmon,16.0,Solyc08g008170,Solyc08g008170.4,Calcium-dependent protein kinase (AHRD V3.3 *** B2KTA5_WHEAT)
2.783357903016513,lightsalmon,lightsalmon,16.0,Solyc08g075890,Solyc08g075890.3,Serine/threonine-protein kinase MAK (AHRD V3.3 *-* A0A2G2XMD0_CAPBA)
2.7754517066909603,lightsalmon,lightsalmon,16.0,Solyc10g009580,Solyc10g009580.4,Glycosyltransferase (AHRD V3.3 *** A0A2I4F8D3_9ROSI)
