connectivity,dynamicColors,moduleColors,moduleLabels,external_gene_name,gene_name,gene_biotype
3.408428803463295,olive,olive,20.0,Solyc12g095770,Solyc12g095770.2,Secondary thiamine-phosphate synthase enzyme (AHRD V3.3 *** Q9LPU1_ARATH)
2.883269863435099,olive,olive,20.0,Solyc02g088340,Solyc02g088340.4,WRKY transcription factor 3
2.579898234707056,olive,olive,20.0,Solyc03g005000,Solyc03g005000.4,Peptidase M48 (AHRD V3.3 *-* A0A200R452_9MAGN)
2.48440015618364,olive,olive,20.0,Solyc03g112200,Solyc03g112200.1,Unknown protein
2.469516405006289,olive,olive,20.0,Solyc04g016220,Solyc04g016220.4,Glycosyltransferase (AHRD V3.3 *-* A0A0A1WC49_NICAT)
2.326931657019935,olive,olive,20.0,Solyc08g081930,Solyc08g081930.3,Glucose-6-phosphate 1-epimerase (AHRD V3.3 *** A0A2G3DB64_CAPCH)
2.1273356033180466,olive,olive,20.0,Solyc05g013630,Solyc05g013630.1,protein kreg-1 (AHRD V3.3 *** XP_004239134.1)
1.8637451670526186,olive,olive,20.0,Solyc08g079280,Solyc08g079280.3,Cytochrome P450 (AHRD V3.3 *** A0A1U9X605_THAGA)
1.8177067969566885,olive,olive,20.0,Solyc10g083350,Solyc10g083350.2,"Heme-binding-like protein, chloroplastic (AHRD V3.3 *** A0A1U8EAT6_CAPAN)"
1.7780206597578319,olive,olive,20.0,Solyc08g005580,Solyc08g005580.3,ABC transporter G family member 14 (AHRD V3.3 *** A0A2G2W3Y1_CAPBA)
