connectivity,dynamicColors,moduleColors,moduleLabels,external_gene_name,gene_name,gene_biotype
2.8245469344597094,olivedrab,olivedrab,21.0,Solyc03g117800,Solyc03g117800.4,Protein ECERIFERUM 3 (AHRD V3.3 *** A0A2G2WQK1_CAPBA)
2.793494088601017,olivedrab,olivedrab,21.0,Solyc12g056590,Solyc12g056590.2,Ethylene Response Factor D.2
2.740705082754279,olivedrab,olivedrab,21.0,Solyc06g005150,Solyc06g005150.3,ascorbate peroxidase
2.7194886100583147,olivedrab,olivedrab,21.0,Solyc01g095140,Solyc01g095140.4,Desiccation protectant protein Lea14-like protein (AHRD V3.3 *** A0A2G3BT76_CAPCH)
2.44550567901392,olivedrab,olivedrab,21.0,Solyc12g044940,Solyc12g044940.2,NAD(P)-binding Rossmann-fold superfamily protein (AHRD V3.3 *** Q94AL3_ARATH)
2.441909905731208,olivedrab,olivedrab,21.0,Solyc06g069690,Solyc06g069690.4,Two-component response regulator-like APRR5 (AHRD V3.3 *** A0A2G3CZB4_CAPCH)
2.3949560317492242,olivedrab,olivedrab,21.0,Solyc10g076250,Solyc10g076250.2,Alanine--glyoxylate aminotransferase 2 (AHRD V3.3 *** B6U6Q5_MAIZE)
2.387758967644517,olivedrab,olivedrab,21.0,Solyc04g071610,Solyc04g071610.4,Abscicic acid stress ripening 1
2.3822124405998437,olivedrab,olivedrab,21.0,Solyc07g053890,Solyc07g053890.3,O-acyltransferase WSD1-like protein (AHRD V3.3 *** A0A2K3N315_TRIPR)
2.3501303792389225,olivedrab,olivedrab,21.0,Solyc08g076200,Solyc08g076200.4,RNA helicase DEAD27
