connectivity,dynamicColors,moduleColors,moduleLabels,external_gene_name,gene_name,gene_biotype
2.988173893703222,orangered,orangered,22.0,Solyc05g015500,Solyc05g015500.4,RanBP2-type zinc finger protein (AHRD V3.3 *** A0A2G2YF90_CAPAN)
2.9394595684423863,orangered,orangered,22.0,Solyc04g016380,Solyc04g016380.3,Ribosome biogenesis protein BRX1-like protein (AHRD V3.3 *** A0A1U8GKR7_CAPAN)
2.866623869347061,orangered,orangered,22.0,Solyc09g020140,Solyc09g020140.3,GPN-loop GTPase 3 (AHRD V3.3 *** A0A2G3BMR6_CAPCH)
2.6568489964881454,orangered,orangered,22.0,Solyc05g056130,Solyc05g056130.4,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 (AHRD V3.3 *-* K4C2T7_SOLLC)
2.589916216070537,orangered,orangered,22.0,Solyc11g011060,Solyc11g011060.3,hypothetical protein (AHRD V3.3 *-* AT5G16610.2)
2.5184996812713107,orangered,orangered,22.0,Solyc11g010270,Solyc11g010270.2,Homeobox-leucine zipper protein HOX4 (AHRD V3.3 *** A0A2G2Y5D1_CAPAN)
2.4326571013821843,orangered,orangered,22.0,Solyc01g109410,Solyc01g109410.4,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit (AHRD V3.3 *** A0A2G2WA56_CAPBA)
2.154381899899244,orangered,orangered,22.0,Solyc03g112570,Solyc03g112570.2,ribonucleoside-diphosphate reductase subunit beta (AHRD V3.3 *** AT5G50410.1)
2.1011571026825773,orangered,orangered,22.0,Solyc03g079930,Solyc03g079930.3,Mitochondrial glycoprotein (AHRD V3.3 *** A0A200QYU1_9MAGN)
2.076250989041218,orangered,orangered,22.0,Solyc01g100350,Solyc01g100350.3,GTP-binding protein (AHRD V3.3 *** Q9SDK4_ORYSJ)
