connectivity,dynamicColors,moduleColors,moduleLabels,external_gene_name,gene_name,gene_biotype
1.9551469495545626,springgreen,springgreen,26.0,Solyc12g096420,Solyc12g096420.2,RING/U-box superfamily protein (AHRD V3.3 *-* A0A1P8BF19_ARATH)
1.921530906899306,springgreen,springgreen,26.0,Solyc02g081830,Solyc02g081830.4,"Haloacid dehalogenase-like hydrolase (HAD) superfamily protein (AHRD V3.3 *** A0A2U1MTA1_ARTAN),Pfam:PF00702"
1.8924153836259494,springgreen,springgreen,26.0,Solyc01g066310,Solyc01g066310.4,Acyl-CoA dehydrogenase family member 10 (AHRD V3.3 *** A0A1J3CLI6_NOCCA)
1.8715890091618552,springgreen,springgreen,26.0,Solyc09g009090,Solyc09g009090.3,CTR1-like protein kinase-3
1.7556703446443207,springgreen,springgreen,26.0,Solyc07g064130,Solyc07g064130.2,Polyubiquitin (AHRD V3.3 *** F1SY21_MESCR)
1.7536953471815304,springgreen,springgreen,26.0,Solyc08g082750,Solyc08g082750.3,Plant regulator RWP-RK family protein (AHRD V3.3 *** G7IAL8_MEDTR)
1.7289950694318292,springgreen,springgreen,26.0,Solyc05g009760,Solyc05g009760.3,Disease resistance protein (CC-NBS-LRR class) family (AHRD V3.3 --* AT5G48620.6)
1.721399018231402,springgreen,springgreen,26.0,Solyc11g042990,Solyc11g042990.2,Kinase protein (AHRD V3.3 *** A0A2R4QNE4_9POAL)
1.700512395976261,springgreen,springgreen,26.0,Solyc06g084590,Solyc06g084590.4,Heparan-alpha-glucosaminide N-acetyltransferase-like protein (DUF1624) (AHRD V3.3 *** B3H4C1_ARATH)
1.6452608182127342,springgreen,springgreen,26.0,Solyc11g064890,Solyc11g064890.2,hypoxia-induced protein L31
