connectivity;dynamicColors;moduleColors;moduleLabels;external_gene_name;gene_name;gene_biotype;Module
1,18777E+16;lightcoral;lightcoral;140;Solyc02g093720;Solyc02g093720.3;TPX2 (Targeting protein for Xklp2) protein family (AHRD V3.3 *-* F4J761_ARATH);lightcoral
1,15171E+16;lightcoral;lightcoral;140;Solyc12g098590;Solyc12g098590.3;Glycosyltransferase (AHRD V3.3 *** A0A2I4GJH4_9ROSI);lightcoral
1,03993E+16;lightcoral;lightcoral;140;Solyc01g096630;Solyc01g096630.3;Cilia-and flagella-associated protein 20 (AHRD V3.3 *-* A0A2G2YYL7_CAPAN);lightcoral
9,85447E+15;lightcoral;lightcoral;140;Solyc11g066580;Solyc11g066580.3;Flavonoid 3`,5`-hydroxylase (AHRD V3.3 *** D3W9H7_SOLLC);lightcoral
9,70503E+15;lightcoral;lightcoral;140;Solyc03g116630;Solyc03g116630.3;cytochrome P450 family protein (AHRD V3.3 *** AT1G52565.1);lightcoral
9,64003E+15;lightcoral;lightcoral;140;Solyc05g056320;Solyc05g056320.3;Smr (Small MutS-related) domain protein (AHRD V3.3 *** A0A2K3NNB3_TRIPR);lightcoral
9,43395E+15;lightcoral;lightcoral;140;Solyc02g072540;Solyc02g072540.3;Non-specific serine/threonine protein kinase (AHRD V3.3 *** A0A2G2XE54_CAPBA);lightcoral
9,32264E+14;lightcoral;lightcoral;140;Solyc04g012120;Solyc04g012120.3;SIG5 14-3-3 family protein;lightcoral
9,15993E+15;lightcoral;lightcoral;140;Solyc04g077920;Solyc04g077920.3;Interferon-related developmental regulator family protein / IFRD protein family (AHRD V3.3 *** A0A2U1KUG8_ARTAN);lightcoral
9,07035E+15;lightcoral;lightcoral;140;Solyc02g085020;Solyc02g085020.4;dihydroflavonol 4-reductase;lightcoral
3,08324E+16;darkkhaki;darkkhaki;60;Solyc07g066610;Solyc07g066610.3;Phosphoglycerate kinase (AHRD V3.3 *** A0A2G2Z688_CAPAN);darkkhaki
2,90096E+16;darkkhaki;darkkhaki;60;Solyc06g073260;Solyc06g073260.3;Chloroplast stem-loop binding protein of 41 kDa b, chloroplastic (AHRD V3.3 *** A0A2G3CAL3_CAPCH);darkkhaki
2,67836E+13;darkkhaki;darkkhaki;60;Solyc07g054820;Solyc07g054820.4;Protein THYLAKOID FORMATION1, chloroplastic (AHRD V3.3 *** THF1_SOLTU);darkkhaki
2,49621E+16;darkkhaki;darkkhaki;60;Solyc10g086580;Solyc10g086580.2;Ribulose bisphosphate carboxylase/oxygenase activase, chloroplastic (AHRD V3.3 *** RCA_SOLPN);darkkhaki
2,49532E+15;darkkhaki;darkkhaki;60;Solyc02g080810;Solyc02g080810.3;Aminomethyltransferase (AHRD V3.3 *** A0A2G2VBG4_CAPBA);darkkhaki
2,4545E+16;darkkhaki;darkkhaki;60;Solyc03g058190;Solyc03g058190.3;GTP-binding protein TypA (AHRD V3.3 *** Q6SYB1_TRIPR);darkkhaki
2,44064E+16;darkkhaki;darkkhaki;60;Solyc01g097460;Solyc01g097460.3;Ribose 5-phosphate isomerase A (AHRD V3.3 *** A0A1Y1IHK3_KLENI);darkkhaki
2,35146E+15;darkkhaki;darkkhaki;60;Solyc04g009030;Solyc04g009030.3;Glyceraldehyde-3-phosphate dehydrogenase (AHRD V3.3 *** A0A0A8IBT8_NICBE);darkkhaki
2,32987E+16;darkkhaki;darkkhaki;60;Solyc10g077120;Solyc10g077120.3;Photosystem II core complex proteins psbY, chloroplastic (AHRD V3.3 *-* A0A1U8E9S9_CAPAN);darkkhaki
2,2825E+16;darkkhaki;darkkhaki;60;Solyc03g005730;Solyc03g005730.4;3-isopropylmalate dehydratase large subunit (AHRD V3.3 *** A0A2G2WWL6_CAPBA);darkkhaki
3,73697E+15;lawngreen;lawngreen;130;Solyc08g079090;Solyc08g079090.4;Monocopper oxidase-like protein sku5 (AHRD V3.3 *** A0A1J6IJ65_NICAT);lawngreen
3,59591E+16;lawngreen;lawngreen;130;Solyc04g079400;Solyc04g079400.3;MAP kinase kinase kinase 35;lawngreen
3,44247E+15;lawngreen;lawngreen;130;Solyc01g008560;Solyc01g008560.3;NAD kinase (AHRD V3.3 *** F2Z9R4_NICBE);lawngreen
3,41565E+16;lawngreen;lawngreen;130;Solyc04g078550;Solyc04g078550.3;WRKY transcription factor 7;lawngreen
3,357E+15;lawngreen;lawngreen;130;Solyc02g064680;Solyc02g064680.4;Calcium-transporting ATPase (AHRD V3.3 *** A0A1U8FI07_CAPAN);lawngreen
